Entry No.,Size,Entry Date,Category,Marketing Group,Manufacturing Co.,SALE QTY,Current Stock(Unit1),Qty(Unit1),Vendor,Free Qty(Unit1),Amount,Product MRP,Product Purchase Rate
B947,  10,29/03/2024,Kurta-Pajama+Jacket <>,BABA KIDS WEAR,Zeeshan Marketring,0.0,1.0,1.0,Zeeshan Marketring,0.0,0.0,0.0,0.0
B947,  12,29/03/2024,Kurta-Pajama+Jacket <>,BABA KIDS WEAR,Zeeshan Marketring,0.0,1.0,1.0,Zeeshan Marketring,0.0,0.0,0.0,0.0
B947,  14,29/03/2024,Kurta-Pajama+Jacket <>,BABA KIDS WEAR,Zeeshan Marketring,0.0,1.0,1.0,Zeeshan Marketring,0.0,0.0,0.0,0.0
B947,  1,29/03/2024,Kurta-Pajama+Jacket <>,BABA KIDS WEAR,Zeeshan Marketring,0.0,1.0,1.0,Zeeshan Marketring,0.0,0.0,0.0,0.0
B947,  2,29/03/2024,Kurta-Pajama+Jacket <>,BABA KIDS WEAR,Zeeshan Marketring,0.0,1.0,1.0,Zeeshan Marketring,0.0,0.0,0.0,0.0
B947,  3,29/03/2024,Kurta-Pajama+Jacket <>,BABA KIDS WEAR,Zeeshan Marketring,0.0,1.0,1.0,Zeeshan Marketring,0.0,0.0,0.0,0.0
B947,  4,29/03/2024,Kurta-Pajama+Jacket <>,BABA KIDS WEAR,Zeeshan Marketring,0.0,1.0,1.0,Zeeshan Marketring,0.0,0.0,0.0,0.0
B947,  5,29/03/2024,Kurta-Pajama+Jacket <>,BABA KIDS WEAR,Zeeshan Marketring,0.0,1.0,1.0,Zeeshan Marketring,0.0,0.0,0.0,0.0
B947,  6,29/03/2024,Kurta-Pajama+Jacket <>,BABA KIDS WEAR,Zeeshan Marketring,0.0,1.0,1.0,Zeeshan Marketring,0.0,0.0,0.0,0.0
B947,  8,29/03/2024,Kurta-Pajama+Jacket <>,BABA KIDS WEAR,Zeeshan Marketring,0.0,1.0,1.0,Zeeshan Marketring,0.0,0.0,0.0,0.0
B947,  10,29/03/2024,Kurta-Pajama+Jacket <>,BABA KIDS WEAR,Zeeshan Marketring,0.0,1.0,1.0,Zeeshan Marketring,0.0,0.0,0.0,0.0
